Name,Asset Type,Date,Plans?,Securities Firm,Ticker,Volume
AMD3,,28-Mar-25,No,삼성증권,AMD3,"₩2,126,581"
ADBE,,28-Mar-25,No,키움증권,ADBE,"₩7,935,212"
AMDL,,28-Mar-25,No,키움증권,AMDL,"₩4,926,851"
GGLL,,28-Mar-25,No,나무증권,GGLL,"₩4,779,010"
AMDL,,28-Mar-25,No,나무증권,AMDL,"₩1,592,123"
IONQ,,28-Mar-25,No,나무증권,IONQ,"₩742,200"
AMD3,,28-Mar-25,No,나무증권,AMD3,"₩1,569,154"
AMD3,,"June 11, 2025   (GMT+9)",No,삼성증권,AMD3,"₩7,370,347"
AMDL,,"June 11, 2025   (GMT+9)",No,키움증권,AMDL,"₩11,488,571"
ADBE,,"June 11, 2025   (GMT+9)",No,키움증권,ADBE,"₩4,560,819"
GGLL,,"June 11, 2025   (GMT+9)",No,나무증권,GGLL,"₩5,702,406"
,,"June 11, 2025   (GMT+9)",No,나무증권,AMDL,"₩1,895,582"
IONQ,,"June 11, 2025   (GMT+9)",No,나무증권,IONQ,"₩1,206,295"
,,"June 11, 2025   (GMT+9)",No,나무증권,AMD3,"₩1,729,672"
저축,,"June 11, 2025   (GMT+9)",No,카카오뱅크,,"₩20,045,534"
인베니아,,"June 11, 2025   (GMT+9)",No,나무증권,인베니아,"₩1,545,912"
잔고 (AMD3),,"July 28, 2025   (GMT+9)",No,삼성증권,,"₩19,315,729"
GGLL,,"July 28, 2025   (GMT+9)",No,키움증권,GGLL,"₩5,652,393"
잔고 (AMDL),,"July 28, 2025   (GMT+9)",No,키움증권,,"₩15,900,000"
AMD,,"July 28, 2025   (GMT+9)",No,키움증권,AMD,"₩6,476,907"
,,"July 28, 2025   (GMT+9)",No,,,
잔고 (AMD3 + AMDL),,"July 28, 2025   (GMT+9)",No,나무증권,,"₩4,600,000"
AMD,,"July 28, 2025   (GMT+9)",No,나무증권,AMD,"₩3,570,000"
GGLL,,"July 28, 2025   (GMT+9)",No,나무증권,GGLL,"₩6,357,454"
IONQ,,"July 28, 2025   (GMT+9)",No,나무증권,IONQ,"₩1,293,000"
예금,,"July 28, 2025   (GMT+9)",No,카카오뱅크,,"₩23,586,627"
인베니아,,"July 28, 2025   (GMT+9)",No,나무증권,인베니아,"₩1,713,983"
Note : 2025.08.01,,31-Jul-25,Yes,,,
양도소득세,예금,31-Jul-25,Yes,,,"₩5,564,931"
소비,소비,31-Jul-25,Yes,,,"₩4,000,000"
1단계 배당주,배당주,31-Jul-25,Yes,,,"₩15,000,000"
